stage,config_id,folds_evaluated,token_macro_f1_mean,entity_f1_mean,runtime_seconds,algorithm,c1,c2,max_iterations,all_possible_transitions
1,c1=0.2_c2=0.2_iters=50_transitions=True,1,0.0,0.0,0.030628442764282227,lbfgs,0.2,0.2,50,True
1,c1=0.1_c2=0.5_iters=50_transitions=True,1,0.0,0.0,0.03153729438781738,lbfgs,0.1,0.5,50,True
1,c1=0.1_c2=0.01_iters=50_transitions=True,1,0.0,0.0,0.03433346748352051,lbfgs,0.1,0.01,50,True
1,c1=0.05_c2=0.2_iters=50_transitions=True,1,0.0,0.0,0.03564047813415527,lbfgs,0.05,0.2,50,True
1,c1=0.01_c2=0.1_iters=50_transitions=True,1,0.0,0.0,0.03618025779724121,lbfgs,0.01,0.1,50,True
1,c1=0.1_c2=0.05_iters=100_transitions=True,1,0.0,0.0,0.04618501663208008,lbfgs,0.1,0.05,100,True
1,c1=0.05_c2=0.1_iters=100_transitions=True,1,0.0,0.0,0.04796767234802246,lbfgs,0.05,0.1,100,True
1,c1=0.01_c2=0.2_iters=100_transitions=True,1,0.0,0.0,0.052579641342163086,lbfgs,0.01,0.2,100,True
1,c1=0.01_c2=0.5_iters=150_transitions=True,1,0.0,0.0,0.055377960205078125,lbfgs,0.01,0.5,150,True
1,c1=0.1_c2=0.1_iters=150_transitions=True,1,0.0,0.0,0.05595684051513672,lbfgs,0.1,0.1,150,True
1,c1=0.5_c2=0.1_iters=50_transitions=True,1,0.0,0.0,0.056774139404296875,lbfgs,0.5,0.1,50,True
1,c1=0.2_c2=0.5_iters=100_transitions=True,1,0.0,0.0,0.058280229568481445,lbfgs,0.2,0.5,100,True
1,c1=0.05_c2=0.5_iters=100_transitions=True,1,0.0,0.0,0.058327436447143555,lbfgs,0.05,0.5,100,True
1,c1=0.01_c2=0.5_iters=50_transitions=True,1,0.0,0.0,0.06325531005859375,lbfgs,0.01,0.5,50,True
1,c1=0.2_c2=0.1_iters=100_transitions=True,1,0.0,0.0,0.06509971618652344,lbfgs,0.2,0.1,100,True
1,c1=0.1_c2=0.2_iters=100_transitions=True,1,0.0,0.0,0.06665420532226562,lbfgs,0.1,0.2,100,True
1,c1=0.2_c2=0.01_iters=100_transitions=True,1,0.0,0.0,0.06755614280700684,lbfgs,0.2,0.01,100,True
1,c1=0.05_c2=0.2_iters=150_transitions=True,1,0.0,0.0,0.06848478317260742,lbfgs,0.05,0.2,150,True
1,c1=0.2_c2=0.05_iters=50_transitions=True,1,0.0,0.0,0.0698857307434082,lbfgs,0.2,0.05,50,True
1,c1=0.1_c2=0.1_iters=50_transitions=True,1,0.0,0.0,0.07043123245239258,lbfgs,0.1,0.1,50,True
1,c1=0.5_c2=0.01_iters=50_transitions=True,1,0.0,0.0,0.07340312004089355,lbfgs,0.5,0.01,50,True
1,c1=0.05_c2=0.01_iters=100_transitions=True,1,0.0,0.0,0.07538890838623047,lbfgs,0.05,0.01,100,True
1,c1=0.2_c2=0.2_iters=150_transitions=True,1,0.0,0.0,0.07643961906433105,lbfgs,0.2,0.2,150,True
1,c1=0.2_c2=0.05_iters=150_transitions=True,1,0.0,0.0,0.07683658599853516,lbfgs,0.2,0.05,150,True
1,c1=0.1_c2=0.5_iters=150_transitions=True,1,0.0,0.0,0.07740449905395508,lbfgs,0.1,0.5,150,True
1,c1=0.5_c2=0.01_iters=150_transitions=True,1,0.0,0.0,0.07780051231384277,lbfgs,0.5,0.01,150,True
1,c1=0.5_c2=0.2_iters=100_transitions=True,1,0.0,0.0,0.07948064804077148,lbfgs,0.5,0.2,100,True
1,c1=0.1_c2=0.01_iters=150_transitions=True,1,0.0,0.0,0.08348822593688965,lbfgs,0.1,0.01,150,True
1,c1=0.05_c2=0.05_iters=150_transitions=True,1,0.0,0.0,0.0906825065612793,lbfgs,0.05,0.05,150,True
1,c1=0.01_c2=0.05_iters=100_transitions=True,1,0.0,0.0,0.09583544731140137,lbfgs,0.01,0.05,100,True
1,c1=0.01_c2=0.01_iters=50_transitions=True,1,0.0,0.0,0.09773778915405273,lbfgs,0.01,0.01,50,True
1,c1=0.01_c2=0.1_iters=150_transitions=True,1,0.0,0.0,0.09816765785217285,lbfgs,0.01,0.1,150,True
1,c1=0.5_c2=0.5_iters=50_transitions=True,1,0.0,0.0,0.10105443000793457,lbfgs,0.5,0.5,50,True
1,c1=0.5_c2=0.5_iters=150_transitions=True,1,0.0,0.0,0.1069328784942627,lbfgs,0.5,0.5,150,True
1,c1=0.5_c2=0.05_iters=100_transitions=True,1,0.0,0.0,0.1164860725402832,lbfgs,0.5,0.05,100,True
1,c1=0.01_c2=0.01_iters=150_transitions=True,1,0.0,0.0,0.12266874313354492,lbfgs,0.01,0.01,150,True
1,c1=0.05_c2=0.05_iters=50_transitions=True,1,0.0,0.0,0.1360304355621338,lbfgs,0.05,0.05,50,True
1,c1=0.5_c2=0.1_iters=150_transitions=True,1,0.0,0.0,0.15067577362060547,lbfgs,0.5,0.1,150,True
2,c1=0.1_c2=0.5_iters=50_transitions=True,2,0.0,0.0,0.19284892082214355,lbfgs,0.1,0.5,50,True
2,c1=0.2_c2=0.2_iters=50_transitions=True,2,0.0,0.0,0.23760437965393066,lbfgs,0.2,0.2,50,True
